code,description,type
58150001, Fracture of clavicle,Clavicle
33173003, Closed fracture of clavicle,Clavicle
1658003, Closed fracture of acromial end of clavicle,Clavicle
87376003, Closed fracture of shaft of clavicle,Clavicle
48561006, Closed fracture of sternal end of clavicle,Clavicle
88196000, Fracture of interligamentous part of clavicle (disorder) ,Clavicle
1303380004, Fracture of left clavicle (disorder) ,Clavicle
1303379002, Fracture of bone of bilateral clavicles (disorder) ,Clavicle
1303381000, Fracture of right clavicle (disorder),Clavicle
41972004, Fracture of shaft of clavicle (disorder) ,Clavicle
56642004, Fracture of sternal end of clavicle (disorder) ,Clavicle
733403004, Multiple fractures of clavicle (disorder),Clavicle
208510002," Multiple fractures of clavicle, scapula and humerus (disorder) ",Clavicle
431011000, Nonunion of fracture of clavicle (disorder) ,Clavicle
704069002, Stress fracture of clavicle (disorder) ,Clavicle
21351003, Fracture of phalanx of foot (disorder) ,Toe
81576005, Closed fracture of phalanx of foot (disorder) ,Toe
302036006, Closed fracture dislocation of interphalangeal joint of toe (disorder) ,Toe
209361003, Closed fracture dislocation of interphalangeal joint of multiple toes (disorder) ,Toe
209378007, Closed fracture subluxation of interphalangeal joint of multiple toes (disorder) ,Toe
209359007, Closed fracture dislocation of interphalangeal joint of single toe (disorder) ,Toe
208712008," Closed fracture distal phalanx, toe (disorder) ",Toe
705067008, Closed fracture of distal phalanx of lesser toe (disorder) ,Toe
698084004, Closed fracture of distal phalanx of great toe (disorder) ,Toe
208711001," Closed fracture middle phalanx, toe (disorder) ",Toe
705068003, Closed fracture of epiphyseal plate of lesser toe (disorder) ,Toe
208713003, Closed fracture of multiple phalanges of toe (disorder) ,Toe
208710000," Closed fracture proximal phalanx, toe (disorder) ",Toe
311821002, Closed fracture of great toe (disorder) ,Toe
705079008, Closed fracture of epiphyseal plate of phalanx of great toe (disorder) ,Toe
704211004, Closed fracture of proximal phalanx of great toe (disorder) ,Toe
704057005, Stress fracture of phalanx of foot (disorder) ,Toe
11314801000119100, Stress fracture of phalanx of left foot (disorder) ,Toe
11314761000119100, Stress fracture of phalanx of right foot (disorder) ,Toe
208719004, Fracture of great toe (disorder) ,Toe
263093003, Fracture dislocation of toe joint (disorder) ,Toe
263117000, Fracture subluxation of interphalangeal joint of toe (disorder) ,Toe
209375005, Closed fracture subluxation of interphalangeal joint of single toe (disorder) ,Toe
123973009, Monteggia's fracture (disorder),Elbow
1303382007, Fracture of left olecranon (disorder) ,Elbow
1303383002, Fracture of right olecranon (disorder) ,Elbow
1303392004, Fracture of bone of left elbow joint region (disorder) ,Elbow
1303393009, Fracture of bone of right elbow joint region (disorder) ,Elbow
16866431000119100, Closed fracture of capitellum of right humerus (disorder),Elbow
16867081000119100, Closed fracture of capitellum of left humerus (disorder) ,Elbow
19259001, Closed fracture of upper end of radius AND ulna (disorder) ,Elbow
208267005," Closed fracture distal humerus, lateral condyle (disorder) ",Elbow
208270009," Closed fracture of distal humerus, trochlea (disorder) ",Elbow
208271008," Closed fracture distal humerus, lateral epicondyle (disorder) ",Elbow
208272001," Closed fracture distal humerus, capitellum (disorder) ",Elbow
208273006," Closed fracture distal humerus, bicondylar (T-Y fracture) (disorder) ",Elbow
208274000, Multiple closed fractures of distal humerus (disorder) ,Elbow
208294009," Closed fracture olecranon, extra-articular (disorder) ",Elbow
208295005," Closed fracture of proximal ulna, comminuted (disorder) ",Elbow
208296006," Closed fracture proximal radius, comminuted (disorder) ",Elbow
208298007," Closed fracture olecranon, intra-articular (disorder) ",Elbow
209252000, Closed fracture dislocation elbow joint (disorder) ,Elbow
209253005, Closed fracture dislocation superior radioulnar joint (disorder) ,Elbow
209258001, Closed fracture subluxation of elbow joint (disorder) ,Elbow
209259009, Closed fracture subluxation superior radioulnar joint (disorder) ,Elbow
21419000, Closed fracture of medial condyle of humerus (disorder) ,Elbow
2295008, Closed fracture of upper end of forearm (disorder) ,Elbow
263078002, Fracture dislocation of elbow joint (disorder) ,Elbow
263100007, Fracture subluxation of elbow joint (disorder) ,Elbow
263101006, Fracture subluxation of superior radioulnar joint (disorder) ,Elbow
263192005, Fracture of distal end of humerus (disorder) ,Elbow
263193000, Supracondylar fracture of humerus (disorder) ,Elbow
263195007, Fracture of proximal end of radius (disorder) ,Elbow
263196008, Fracture of radial head (disorder) ,Elbow
263197004, Fracture of radial neck (disorder) ,Elbow
263203001, Fracture of proximal end of ulna (disorder) ,Elbow
263206009, Fracture of proximal end of radius and ulna (disorder) ,Elbow
269080004, Closed fracture of the distal humerus (disorder) ,Elbow
281525005, Fracture of the lateral humeral epicondyle (disorder) ,Elbow
281526006, Fracture of the medial humeral epicondyle (disorder) ,Elbow
29045004, Closed Monteggia's fracture (disorder) ,Elbow
302222008, Elbow fracture - closed (disorder) ,Elbow
309464009, Elbow fracture (disorder) ,Elbow
33041006, Closed fracture of proximal end of ulna (disorder) ,Elbow
440366004, Closed fracture of the medial epicondyle of humerus (disorder) ,Elbow
441496000, Transcondylar fracture of distal humerus (disorder) ,Elbow
442448003, Fracture of head of radius with dislocation of distal radioulnar joint and interosseous membrane disruption (disorder) ,Elbow
58580000, Closed supracondylar fracture of humerus (disorder) ,Elbow
5895007, Closed multiple fractures of upper end of radius (disorder) ,Elbow
64902007, Closed fracture of olecranon process of ulna (disorder) ,Elbow
68819003, Closed fracture of coronoid process of ulna (disorder) ,Elbow
