hrg_code,hrg_name,non_elec_cost
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",10364
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",5792
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",5267
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",4032
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",2602
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,10426
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,5626
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,4212
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,3627
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,3011
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+",7014
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",4532
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",3937
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",3215
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",2319
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",1956
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",8041
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",4581
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",3749
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",2460
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",1305
AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",7471
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",4310
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",3420
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",2112
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",1250
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",606
AA28C,Motor Neuron Disease with CC Score 8+,9385
AA28D,Motor Neuron Disease with CC Score 5-7,5870
AA28E,Motor Neuron Disease with CC Score 2-4,3813
AA28F,Motor Neuron Disease with CC Score 0-1,3493
AA29C,Transient Ischaemic Attack with CC Score 11+,3394
AA29D,Transient Ischaemic Attack with CC Score 8-10,1594
AA29E,Transient Ischaemic Attack with CC Score 5-7,1336
