outpat_procedure_code,outpat_procedure_name,outpat_procedure_cost
AA32Z,Neuropsychology Tests,261
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",230
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",322
AA57A,"Minimal Intracranial Procedures, 19 years and over",185
AA81Z,Standard Long-Term EEG Monitoring,453
AB11Z,Cognitive Behavioural Therapy as part of a Pain Management Programme,128
AB14Z,Insertion of Neurostimulator Electrodes for Pain Management,1813
AB15Z,"Radiofrequency Ablation or Cryoablation, for Pain Management",955
AB16Z,"Denervation or Injection around Spinal Facet, for Pain Management",682
AB18Z,Continuous Infusion of Therapeutic Substance for Pain Management,433
AB20Z,Epidural Under Image Control for Pain Management,654
AB21Z,"Epidural or Therapeutic Spinal Puncture, for Pain Management",460
AB22Z,Trigger Point Injection for Pain Management,337
AB23Z,Acupuncture for Pain Management,107
AB25Z,"Nerve Block or Destruction of Nerve, Under Image Control, for Pain Management",704
AB26Z,"Nerve Block or Destruction of Nerve, for Pain Management",542
AB27Z,Injection of Therapeutic Substance into Joint Under Image Control for Pain Management,704
AB28Z,Injection of Therapeutic Substance into Joint for Pain Management,590
BZ33Z,"Minor, Cataract or Lens Procedures",112
BZ44B,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",132
BZ45B,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",125
BZ46A,"Minor Oculoplastics Procedures, 19 years and over",128
BZ56B,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",118
BZ57A,"Minor, Orbit or Lacrimal Procedures, 19 years and over",116
BZ65Z,"Minor, Cornea or Sclera Procedures",152
BZ74Z,Minor Ocular Motility Procedures,95
BZ84B,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",153
BZ85Z,"Very Major or Major, Vitreous Retinal Procedures, 18 years and under",197
BZ86B,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",130
BZ86C,"Intermediate Vitreous Retinal Procedures, 18 years and under",141
BZ87A,"Minor Vitreous Retinal Procedures, 19 years and over",104
BZ87B,"Minor Vitreous Retinal Procedures, between 4 and 18 years",104
BZ87C,"Minor Vitreous Retinal Procedures, 3 years and under",114
BZ88A,"Retinal Tomography, 19 years and over",106
BZ88B,"Retinal Tomography, 18 years and under",112
BZ89A,"Digital Retinal Photography, 19 years and over",103
BZ89B,"Digital Retinal Photography, 18 years and under",112
BZ93B,"Major, Glaucoma or Iris Procedures, with CC Score 0-1",142
BZ94B,"Intermediate, Glaucoma or Iris Procedures, with CC Score 0",119
BZ95Z,"Minor, Glaucoma or Iris Procedures",111
CA05A,"Minor, Head or Neck Procedures, 19 years and over",192
CA12Z,Major Treatment of Epistaxis,150
CA13A,"Minor Treatment of Epistaxis, 19 years and over",145
CA13B,"Minor Treatment of Epistaxis, 18 years and under",145
CA14Z,Nasal Polypectomy,162
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose",162
CA16Z,"Excision or Biopsy, of Lesion of External Nose",182
CA24A,"Minor Nose Procedures, 19 years and over",150
CA24B,"Minor Nose Procedures, 18 years and under",154
CA25A,"Minimal Nose Procedures, 19 years and over",139
CA25B,"Minimal Nose Procedures, 18 years and under",139
CA29Z,Minor Sinus Procedures,153
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over",159
CA34B,"Excision or Biopsy, of Lesion of External Ear, 18 years and under",182
CA35A,"Insertion of Grommets, 19 years and over",752
CA36A,"Clearance of External Auditory Canal, 19 years and over",104
CA36B,"Clearance of External Auditory Canal, 18 years and under",136
CA37A,"Audiometry or Hearing Assessment, 19 years and over",115
CA37B,"Audiometry or Hearing Assessment, between 5 and 18 years",122
CA37C,"Audiometry or Hearing Assessment, 4 years and under",143
CA38A,"Evoked Potential Recording, 19 years and over",178
CA38B,"Evoked Potential Recording, 18 years and under",458
CA40Z,Fitting of Bone Anchored Hearing Aids,361
CA43Z,Balance Assessment,131
CA53A,"Intermediate Ear Procedures, 19 years and over",179
CA53B,"Intermediate Ear Procedures, 18 years and under",324
CA54A,"Minor Ear Procedures, 19 years and over",156
CA54B,"Minor Ear Procedures, 18 years and under",295
CA55A,"Minimal Ear Procedures, 19 years and over",141
CA55B,"Minimal Ear Procedures, 18 years and under",268
CA65Z,Frenotomy or Frenectomy,207
CA66A,"Excision or Biopsy, of Lesion of Mouth, 19 years and over",205
CA66B,"Excision or Biopsy, of Lesion of Mouth, 18 years and under",245
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",243
CA68B,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under",280
CA69A,"Diagnostic, Laryngoscopy or Pharyngoscopy, 19 years and over",152
CA69B,"Diagnostic, Laryngoscopy or Pharyngoscopy, between 2 and 18 years",199
CA69C,"Diagnostic, Laryngoscopy or Pharyngoscopy, 1 year and under",230
CA71A,"Diagnostic Nasopharyngoscopy, 19 years and over",139
CA71B,"Diagnostic Nasopharyngoscopy, 18 years and under",154
CA84B,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",207
CA84C,"Intermediate, Mouth or Throat Procedures, 18 years and under",228
CA85A,"Minor, Mouth or Throat Procedures, 19 years and over",372
CA85B,"Minor, Mouth or Throat Procedures, between 2 and 18 years",409
CA86A,"Minimal, Mouth or Throat Procedures, 19 years and over",179
CA86B,"Minimal, Mouth or Throat Procedures, between 2 and 18 years",197
